;instance;method;found;bound;time
0;brock200_2.col;desc_base;7;12;0.06700301170349121
1;brock200_2.col;desc_dyn;7;12;0.03899550437927246
2;brock200_2.col;desc_ran;7;12;0.038999319076538086
3;brock200_2.col;mult_ran;7;12;0.08499288558959961
4;dsjc125.1.col;desc_base;4;4;0.0029997825622558594
5;dsjc125.1.col;desc_dyn;4;4;0.004000663757324219
6;dsjc125.1.col;desc_ran;4;4;0.003998279571533203
7;dsjc125.1.col;mult_ran;4;4;0.021002531051635742
8;random-10.col;desc_base;5;5;0.0009989738464355469
9;random-10.col;desc_dyn;5;5;0.0009987354278564453
10;random-10.col;desc_ran;4;5;0.0
11;random-10.col;mult_ran;4;5;0.0029990673065185547
12;random-100.col;desc_base;8;9;0.011998176574707031
13;random-100.col;desc_dyn;8;9;0.007999897003173828
14;random-100.col;desc_ran;7;9;0.011999368667602539
15;random-100.col;mult_ran;9;9;0.028995990753173828
16;random-40.col;desc_base;7;7;0.0029993057250976562
17;random-40.col;desc_dyn;6;7;0.004000186920166016
18;random-40.col;desc_ran;7;7;0.002998828887939453
19;random-40.col;mult_ran;5;7;0.014998197555541992
20;random-70.col;desc_base;7;8;0.005999088287353516
21;random-70.col;desc_dyn;7;8;0.007999181747436523
22;random-70.col;desc_ran;5;8;0.005999088287353516
23;random-70.col;mult_ran;7;8;0.019999265670776367
