;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;dsjc125.1.col;expl v2;4;4;4;0.0%;0.0%;0.0;0;51486
1;dsjc125.1.col;taboos;4;4;4;0.0%;6.4%;0.0;0;61022
2;dsjc125.1.col;restart;4;4;4;0.0%;4.8%;0.0;0;91294
3;random-10.col;expl v2;5;5;5;0.0%;0.0%;0.0;0;437875
4;random-10.col;taboos;5;5;5;0.0%;0.0%;0.0;0;802180
5;random-10.col;restart;5;5;5;0.0%;0.0%;0.0;0;967617
6;random-100.col;expl v2;8;9;9;0.0%;9.0%;0.014997243881225586;2;29103
7;random-100.col;taboos;8;9;9;0.0%;9.0%;0.20599794387817383;50;36638
8;random-100.col;restart;8;9;9;0.0%;15.0%;0.14033722877502441;12;54561
9;random-40.col;expl v2;7;7;7;0.0%;0.0%;0.0;0;90362
10;random-40.col;taboos;7;7;7;0.0%;25.0%;0.0;0;131026
11;random-40.col;restart;7;7;7;0.0%;30.0%;0.0;0;196202
12;random-70.col;expl v2;7;8;8;0.0%;12.9%;0.04908180236816406;12;56069
13;random-70.col;taboos;7;8;8;0.0%;21.4%;0.057151079177856445;23;72417
14;random-70.col;restart;7;8;8;0.0%;15.7%;0.014998435974121094;6;101178
15;brock200_2.col;expl v2;7;10;12;16.7%;4.5%;2.070039749145508;146;16468
16;brock200_2.col;taboos;7;11;12;8.3%;9.0%;18.422086238861084;1610;20802
17;brock200_2.col;restart;7;12;12;0.0%;7.5%;28.37204933166504;3172;25562
