;instance;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;14;19;26;26.9%;3.1%;4.628091096878052;137;746
1;C2000.5.txt;10;14;16;12.5%;1.2%;8.967390060424805;106;308
2;C500.9.txt;41;53;57;7.0%;10.4%;28.1899516582489;1133;1200
3;gen400_p0.9_75.txt;47;52;75;30.7%;11.3%;26.97790813446045;1425;1547
4;p_hat1500-3.txt;75;91;94;3.2%;4.3%;26.38427209854126;328;366
5;p_hat700-1.txt;7;10;11;9.1%;2.6%;28.890887022018433;762;787
6;dsjc1000.1.col;5;5;6;16.7%;1.0%;0.0;0;730
7;dsjc1000.5.col;10;13;14;7.1%;2.1%;2.033878803253174;45;542
8;dsjc1000.9.col;48;60;62;3.2%;4.8%;10.902440786361694;198;476
9;dsjc250.5.col;8;11;12;8.3%;4.4%;0.1775197982788086;17;1962
10;dsjc500.1.col;4;5;5;0.0%;1.9%;3.757028102874756;208;1613
11;dsjc500.5.col;10;12;13;7.7%;3.6%;28.132647037506104;1497;1560
12;dsjc500.9.col;44;53;52;-1.9%;7.0%;21.160241842269897;721;1006
