	instance	method	clique	best	total(s)
0	brock200_2.col	ran_2	7	//	0.03490567207336426
1	brock200_2.col	ran_3	8	//	0.03194236755371094
2	brock200_2.col	ran_4	7	//	0.031914472579956055
3	brock200_2.col	ran_5	7	//	0.0328822135925293
4	brock200_2.col	ran_6	7	//	0.033295392990112305
5	brock200_2.col	ran_7	8	//	0.03194284439086914
6	brock200_2.col	ran_8	8	//	0.03288865089416504
7	brock200_2.col	ran_9	7	//	0.03191542625427246
8	brock200_2.col	ran_10	8	//	0.033913612365722656
9	brock200_2.col	ran_11	8	//	0.03690218925476074
10	brock200_2.col	ran_12	8	//	0.03689980506896973
11	brock200_2.col	ran_13	9	//	0.03388047218322754
12	brock200_2.col	ran_14	8	//	0.03391075134277344
13	brock200_2.col	ran_15	7	//	0.033444881439208984
14	///	///	///	///	///
15	dsjc125.1.col	ran_2	4	//	0.0059854984283447266
16	dsjc125.1.col	ran_3	4	//	0.004987001419067383
17	dsjc125.1.col	ran_4	4	//	0.0069544315338134766
18	dsjc125.1.col	ran_5	3	//	0.0040171146392822266
19	dsjc125.1.col	ran_6	4	//	0.006953239440917969
20	dsjc125.1.col	ran_7	4	//	0.005013704299926758
21	dsjc125.1.col	ran_8	3	//	0.004988193511962891
22	dsjc125.1.col	ran_9	4	//	0.004985809326171875
23	dsjc125.1.col	ran_10	2	//	0.0039594173431396484
24	dsjc125.1.col	ran_11	3	//	0.004984855651855469
25	dsjc125.1.col	ran_12	4	//	0.0049741268157958984
26	dsjc125.1.col	ran_13	3	//	0.007003068923950195
27	dsjc125.1.col	ran_14	4	//	0.004966020584106445
28	dsjc125.1.col	ran_15	4	//	0.004987239837646484
29	///	///	///	///	///
30	random-10.col	ran_2	5	//	0.0009965896606445312
31	random-10.col	ran_3	3	//	0.000997304916381836
32	random-10.col	ran_4	4	//	0.0009970664978027344
33	random-10.col	ran_5	3	//	0.0
34	random-10.col	ran_6	5	//	0.0009963512420654297
35	random-10.col	ran_7	3	//	0.0009958744049072266
36	random-10.col	ran_8	3	//	0.001018524169921875
37	random-10.col	ran_9	3	//	0.0
38	random-10.col	ran_10	2	//	0.0009965896606445312
39	random-10.col	ran_11	4	//	0.001020669937133789
40	random-10.col	ran_12	3	//	0.0009851455688476562
41	random-10.col	ran_13	3	//	0.0009682178497314453
42	random-10.col	ran_14	3	//	0.0009970664978027344
43	random-10.col	ran_15	5	//	0.000997304916381836
44	///	///	///	///	///
45	random-100.col	ran_2	8	//	0.010976552963256836
46	random-100.col	ran_3	8	//	0.008948326110839844
47	random-100.col	ran_4	8	//	0.009002923965454102
48	random-100.col	ran_5	8	//	0.009975671768188477
49	random-100.col	ran_6	8	//	0.008975744247436523
50	random-100.col	ran_7	7	//	0.009002923965454102
51	random-100.col	ran_8	7	//	0.009945154190063477
52	random-100.col	ran_9	7	//	0.008975744247436523
53	random-100.col	ran_10	6	//	0.009950399398803711
54	random-100.col	ran_11	8	//	0.010999441146850586
55	random-100.col	ran_12	8	//	0.010970592498779297
56	random-100.col	ran_13	7	//	0.01196742057800293
57	random-100.col	ran_14	6	//	0.010000228881835938
58	random-100.col	ran_15	9	//	0.009972810745239258
59	///	///	///	///	///
60	random-40.col	ran_2	6	//	0.0029654502868652344
61	random-40.col	ran_3	7	//	0.0030012130737304688
62	random-40.col	ran_4	5	//	0.002963542938232422
63	random-40.col	ran_5	6	//	0.001968860626220703
64	random-40.col	ran_6	7	//	0.002021312713623047
65	random-40.col	ran_7	5	//	0.001962423324584961
66	random-40.col	ran_8	6	//	0.0020194053649902344
67	random-40.col	ran_9	6	//	0.0030050277709960938
68	random-40.col	ran_10	6	//	0.0030198097229003906
69	random-40.col	ran_11	6	//	0.0039823055267333984
70	random-40.col	ran_12	5	//	0.002971649169921875
71	random-40.col	ran_13	6	//	0.002016305923461914
72	random-40.col	ran_14	6	//	0.0030202865600585938
73	random-40.col	ran_15	5	//	0.001992464065551758
74	///	///	///	///	///
75	random-70.col	ran_2	7	//	0.004975318908691406
76	random-70.col	ran_3	6	//	0.0059583187103271484
77	random-70.col	ran_4	8	//	0.005016326904296875
78	random-70.col	ran_5	6	//	0.004958391189575195
79	random-70.col	ran_6	7	//	0.00498652458190918
80	random-70.col	ran_7	7	//	0.004993438720703125
81	random-70.col	ran_8	7	//	0.005983114242553711
82	random-70.col	ran_9	7	//	0.004987001419067383
83	random-70.col	ran_10	7	//	0.004986763000488281
84	random-70.col	ran_11	7	//	0.005014896392822266
85	random-70.col	ran_12	5	//	0.004987001419067383
86	random-70.col	ran_13	7	//	0.004986286163330078
87	random-70.col	ran_14	5	//	0.005015134811401367
88	random-70.col	ran_15	7	//	0.00598454475402832
89	///	///	///	///	///
