;instance;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;14;17;26;34.6%;1.9%;0.18100619316101074;2;2538
1;C2000.5.txt;10;14;16;12.5%;0.6%;1.9066705703735352;16;1050
2;C500.9.txt;43;52;57;8.8%;5.4%;0.7250268459320068;20;3289
3;gen400_p0.9_75.txt;47;50;75;33.3%;1.8%;0.12312793731689453;3;3632
4;p_hat1500-3.txt;75;90;94;4.3%;2.6%;6.844882488250732;48;1033
5;p_hat700-1.txt;7;8;11;27.3%;1.6%;0.07599949836730957;2;2913
6;dsjc1000.1.col;5;6;6;0.0%;0.9%;1.8199796676635742;29;1912
7;dsjc1000.5.col;10;13;14;7.1%;1.3%;0.10598993301391602;1;1878
8;dsjc1000.9.col;53;57;62;8.1%;2.0%;0.8469700813293457;10;1696
9;dsjc250.5.col;8;11;12;8.3%;4.4%;0.02900099754333496;2;7784
10;dsjc500.1.col;3;5;5;0.0%;1.2%;0.07703566551208496;3;6179
11;dsjc500.5.col;8;12;13;7.7%;3.6%;10.946996688842773;348;3754
12;dsjc500.9.col;43;51;52;1.9%;6.4%;3.390040159225464;95;3484
13;brock200_2.col;7;10;12;16.7%;4.5%;0.4421985149383545;34;9669
14;dsjc125.1.col;4;4;4;0.0%;0.0%;0.0;0;19415
15;random-10.col;5;5;5;0.0%;0.0%;0.0;0;184930
16;random-100.col;8;9;9;0.0%;9.0%;0.015999317169189453;3;19677
17;random-40.col;7;7;7;0.0%;0.0%;0.0;0;47720
18;random-70.col;7;8;8;0.0%;7.1%;0.004036664962768555;1;27786
