;instance;max_k;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock200_2.col;2;7;9;12;25.0%;97.0%;0.06448960304260254;1;330
1;brock200_2.col;3;7;9;12;25.0%;96.0%;0.0800013542175293;1;239
2;brock200_2.col;4;7;10;12;16.7%;95.5%;3.708937168121338;68;174
3;brock200_2.col;5;7;10;12;16.7%;95.5%;0.06178426742553711;1;133
4;brock200_2.col;6;7;10;12;16.7%;92.5%;8.794981718063354;104;118
5;brock200_2.col;7;7;9;12;25.0%;97.0%;0.04888415336608887;1;82
6;brock200_2.col;8;7;10;12;16.7%;91.5%;7.513326644897461;41;56
7;brock200_2.col;9;7;9;12;25.0%;95.0%;0.19090938568115234;2;60
8;dsjc125.1.col;2;4;4;4;0.0%;100.0%;0.0;0;401
9;dsjc125.1.col;3;4;4;4;0.0%;100.0%;0.0;0;447
10;dsjc125.1.col;4;4;4;4;0.0%;100.0%;0.0;0;318
11;dsjc125.1.col;5;4;4;4;0.0%;100.0%;0.0;0;344
12;dsjc125.1.col;6;4;4;4;0.0%;100.0%;0.0;0;612
13;dsjc125.1.col;7;4;4;4;0.0%;100.0%;0.0;0;487
14;dsjc125.1.col;8;4;4;4;0.0%;100.0%;0.0;0;430
15;dsjc125.1.col;9;4;4;4;0.0%;100.0%;0.0;0;416
16;random-10.col;2;5;5;5;0.0%;100.0%;0.0;0;12282
17;random-10.col;3;5;5;5;0.0%;100.0%;0.0;0;11924
18;random-10.col;4;5;5;5;0.0%;100.0%;0.0;0;8208
19;random-10.col;5;5;5;5;0.0%;100.0%;0.0;0;9100
20;random-10.col;6;5;5;5;0.0%;100.0%;0.0;0;3046
21;random-10.col;7;5;5;5;0.0%;100.0%;0.0;0;5488
22;random-10.col;8;5;5;5;0.0%;100.0%;0.0;0;5753
23;random-10.col;9;5;5;5;0.0%;100.0%;0.0;0;5823
