;instance;max_k;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;2;14;16;26;38.5%;99.2%;0.9027552604675293;4;135
1;brock800_4.txt;5;14;19;26;26.9%;97.6%;15.419090270996094;63;82
2;brock800_4.txt;8;14;18;26;30.8%;98.2%;10.760689973831177;31;51
3;brock800_4.txt;11;14;18;26;30.8%;97.8%;16.25636339187622;33;42
4;brock800_4.txt;14;14;19;26;26.9%;97.1%;0.5665743350982666;1;30
5;brock800_4.txt;17;14;17;26;34.6%;98.4%;0.3823108673095703;1;28
6;C2000.5.txt;2;10;12;16;25.0%;99.7%;1.506298542022705;2;61
7;C2000.5.txt;5;10;13;16;18.8%;99.4%;1.235177993774414;1;21
8;C2000.5.txt;8;10;13;16;18.8%;99.5%;1.2165043354034424;1;15
9;C2000.5.txt;11;10;13;16;18.8%;99.4%;4.588456153869629;3;11
10;C2000.5.txt;14;10;13;16;18.8%;99.2%;6.396305799484253;4;11
11;C2000.5.txt;17;10;14;16;12.5%;99.2%;6.257214784622192;3;10
12;C500.9.txt;2;43;46;57;19.3%;98.2%;3.671778440475464;17;121
13;C500.9.txt;5;43;49;57;14.0%;95.2%;8.20551347732544;18;56
14;C500.9.txt;8;43;51;57;10.5%;93.2%;19.705267906188965;24;24
15;C500.9.txt;11;43;52;57;8.8%;93.8%;1.7446541786193848;1;20
16;C500.9.txt;14;43;53;57;7.0%;92.4%;15.662187814712524;13;18
17;C500.9.txt;17;43;51;57;10.5%;92.8%;5.970170259475708;4;10
18;gen400_p0.9_75.txt;2;47;49;75;34.7%;98.0%;1.6235809326171875;8;192
19;gen400_p0.9_75.txt;5;47;49;75;34.7%;98.0%;0.44315266609191895;2;102
20;gen400_p0.9_75.txt;8;47;49;75;34.7%;98.0%;0.6522643566131592;1;44
21;gen400_p0.9_75.txt;11;47;50;75;33.3%;97.2%;0.8342709541320801;1;32
22;gen400_p0.9_75.txt;14;47;50;75;33.3%;98.2%;0.4618189334869385;1;23
23;gen400_p0.9_75.txt;17;47;50;75;33.3%;97.2%;1.3331379890441895;1;19
24;p_hat1500-3.txt;2;75;82;94;12.8%;99.0%;18.43256711959839;26;28
25;p_hat1500-3.txt;5;75;82;94;12.8%;98.7%;19.314517736434937;12;12
26;p_hat1500-3.txt;8;75;81;94;13.8%;98.7%;20.211804628372192;4;4
27;p_hat1500-3.txt;11;75;85;94;9.6%;97.7%;31.671093463897705;3;3
28;p_hat1500-3.txt;14;75;87;94;7.4%;97.1%;19.562066078186035;2;2
29;p_hat1500-3.txt;17;75;83;94;11.7%;98.5%;9.988573789596558;1;2
30;p_hat700-1.txt;2;7;8;11;27.3%;99.3%;0.18599677085876465;2;210
31;p_hat700-1.txt;5;7;9;11;18.2%;98.3%;5.799227952957153;21;77
32;p_hat700-1.txt;8;7;9;11;18.2%;98.6%;1.1700010299682617;3;119
33;p_hat700-1.txt;11;7;9;11;18.2%;98.6%;1.1633422374725342;9;146
34;p_hat700-1.txt;14;7;9;11;18.2%;98.3%;4.378474950790405;35;145
35;p_hat700-1.txt;17;7;8;11;27.3%;98.4%;0.0914907455444336;1;149
