;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;expl v2;14;19;26;26.9%;1.6%;0.06899857521057129;3;2377
1;C2000.5.txt;expl v2;10;14;16;12.5%;0.9%;1.4560015201568604;12;975
2;C500.9.txt;expl v2;43;55;57;3.5%;7.6%;16.53099751472473;529;3528
3;gen400_p0.9_75.txt;expl v2;47;50;75;33.3%;2.2%;0.2322099208831787;10;4538
4;p_hat1500-3.txt;expl v2;75;88;94;6.4%;3.3%;54.237624406814575;487;1059
5;p_hat700-1.txt;expl v2;7;9;11;18.2%;1.4%;0.24900054931640625;6;2736
6;dsjc1000.1.col;expl v2;5;6;6;0.0%;0.9%;19.291312217712402;365;1984
7;dsjc1000.5.col;expl v2;10;13;14;7.1%;1.3%;0.09795594215393066;2;1847
8;dsjc1000.9.col;expl v2;53;60;62;3.2%;3.1%;104.26511526107788;1488;1706
9;dsjc250.5.col;expl v2;8;11;12;8.3%;4.4%;0.23000001907348633;15;7706
10;dsjc500.1.col;expl v2;3;5;5;0.0%;1.2%;0.06399965286254883;5;4800
11;dsjc500.5.col;expl v2;8;11;13;15.4%;3.0%;0.14100289344787598;6;3595
12;dsjc500.9.col;expl v2;43;53;52;-1.9%;6.8%;15.268999338150024;450;3421
13;brock200_2.col;expl v2;7;10;12;16.7%;5.5%;0.15900111198425293;15;9366
14;dsjc125.1.col;expl v2;4;4;4;0.0%;0.0%;0.0;0;25307
15;random-10.col;expl v2;5;5;5;0.0%;0.0%;0.0;0;236106
16;random-100.col;expl v2;8;9;9;0.0%;7.0%;0.1439990997314453;24;19264
17;random-40.col;expl v2;7;7;7;0.0%;0.0%;0.0;0;48314
18;random-70.col;expl v2;7;8;8;0.0%;7.1%;0.061203718185424805;15;27337
19;brock800_4.txt;base;14;17;26;34.6%;1.9%;0.18100619316101074;2;2538
20;C2000.5.txt;base;10;14;16;12.5%;0.6%;1.9066705703735352;16;1050
21;C500.9.txt;base;43;52;57;8.8%;5.4%;0.7250268459320068;20;3289
22;gen400_p0.9_75.txt;base;47;50;75;33.3%;1.8%;0.12312793731689453;3;3632
23;p_hat1500-3.txt;base;75;90;94;4.3%;2.6%;6.844882488250732;48;1033
24;p_hat700-1.txt;base;7;8;11;27.3%;1.6%;0.07599949836730957;2;2913
25;dsjc1000.1.col;base;5;6;6;0.0%;0.9%;1.8199796676635742;29;1912
26;dsjc1000.5.col;base;10;13;14;7.1%;1.3%;0.10598993301391602;1;1878
27;dsjc1000.9.col;base;53;57;62;8.1%;2.0%;0.8469700813293457;10;1696
28;dsjc250.5.col;base;8;11;12;8.3%;4.4%;0.02900099754333496;2;7784
29;dsjc500.1.col;base;3;5;5;0.0%;1.2%;0.07703566551208496;3;6179
30;dsjc500.5.col;base;8;12;13;7.7%;3.6%;10.946996688842773;348;3754
31;dsjc500.9.col;base;43;51;52;1.9%;6.4%;3.390040159225464;95;3484
32;brock200_2.col;base;7;10;12;16.7%;4.5%;0.4421985149383545;34;9669
33;dsjc125.1.col;base;4;4;4;0.0%;0.0%;0.0;0;19415
34;random-10.col;base;5;5;5;0.0%;0.0%;0.0;0;184930
35;random-100.col;base;8;9;9;0.0%;9.0%;0.015999317169189453;3;19677
36;random-40.col;base;7;7;7;0.0%;0.0%;0.0;0;47720
37;random-70.col;base;7;8;8;0.0%;7.1%;0.004036664962768555;1;27786
