;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;expl v2;14;18;26;30.8%;1.8%;0.32197022438049316;9;550
1;C2000.5.txt;expl v2;10;13;16;18.8%;0.5%;0.6829559803009033;5;186
2;C500.9.txt;expl v2;43;50;57;12.3%;5.4%;1.3770380020141602;39;722
3;gen400_p0.9_75.txt;expl v2;47;50;75;33.3%;2.8%;0.3619849681854248;13;911
4;p_hat1500-3.txt;expl v2;75;88;94;6.4%;2.9%;25.91613793373108;204;236
5;p_hat700-1.txt;expl v2;7;9;11;18.2%;1.4%;5.717998266220093;115;596
6;dsjc1000.1.col;expl v2;5;6;6;0.0%;0.9%;26.052321672439575;429;484
7;dsjc1000.5.col;expl v2;10;13;14;7.1%;1.7%;0.7810304164886475;10;425
8;dsjc1000.9.col;expl v2;53;57;62;8.1%;1.6%;5.803985595703125;75;374
9;dsjc250.5.col;expl v2;8;11;12;8.3%;4.4%;0.1889970302581787;12;1614
10;dsjc500.1.col;expl v2;3;5;5;0.0%;1.2%;3.121704578399658;133;1037
11;dsjc500.5.col;expl v2;8;12;13;7.7%;2.8%;3.905071496963501;109;835
12;dsjc500.9.col;expl v2;43;51;52;1.9%;6.4%;18.231226444244385;462;753
