;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;dsjc500.9.col;expl taboo;43;51;1;-5000.0%;8.8%;14.768383741378784;250;440
1;dsjc500.5.col;expl taboo;8;12;1;-1100.0%;3.6%;10.923283338546753;157;398
2;dsjc500.1.col;expl taboo;3;5;1;-400.0%;1.6%;8.122947216033936;155;593
3;dsjc250.5.col;expl taboo;8;11;1;-1000.0%;7.6%;13.104949951171875;387;1517
4;dsjc1000.9.col;expl taboo;53;57;1;-5600.0%;3.4%;10.933196544647217;164;473
5;dsjc1000.5.col;expl taboo;10;14;1;-1300.0%;2.0%;9.29406213760376;143;330
6;dsjc1000.1.col;expl taboo;5;5;1;-400.0%;1.0%;0.0;0;343
7;p_hat700-1.txt;expl taboo;7;9;11;18.2%;2.3%;8.818008184432983;132;622
8;p_hat1500-3.txt;expl taboo;75;88;94;6.4%;3.0%;30.256008863449097;257;267
9;gen400_p0.9_75.txt;expl taboo;47;51;75;32.0%;7.0%;2.361445188522339;95;1598
10;C500.9.txt;expl taboo;43;54;57;5.3%;8.6%;3.083834409713745;151;931
11;C2000.5.txt;expl taboo;10;14;16;12.5%;1.1%;5.276648998260498;31;177
12;brock800_4.txt;expl taboo;14;19;26;26.9%;3.9%;27.370431423187256;362;402
