;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;base;14;17;26;34.6%;0.9%;0.5249993801116943;4;222
1;brock800_4.txt;restart;14;17;26;34.6%;0.9%;0.36201953887939453;3;281
2;C2000.5.txt;base;10;13;16;18.8%;0.7%;0.5130391120910645;1;109
3;C2000.5.txt;restart;10;14;16;12.5%;0.7%;1.549004077911377;6;112
4;C500.9.txt;base;43;52;57;8.8%;5.4%;4.197287559509277;21;175
5;C500.9.txt;restart;43;47;57;17.5%;3.2%;1.2540559768676758;7;218
6;gen400_p0.9_75.txt;base;47;50;75;33.3%;2.8%;1.5155870914459229;11;175
7;gen400_p0.9_75.txt;restart;47;49;75;34.7%;2.5%;0.8056955337524414;6;264
8;p_hat1500-3.txt;base;75;85;94;9.6%;1.6%;28.979970932006836;27;28
9;p_hat1500-3.txt;restart;75;79;94;16.0%;0.7%;1.840959072113037;1;45
10;p_hat700-1.txt;base;7;8;11;27.3%;0.4%;0.11168313026428223;2;458
11;p_hat700-1.txt;restart;7;9;11;18.2%;1.4%;0.5169661045074463;7;511
