;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;base;14;20;26;23.1%;2.8%;7.263662338256836;113;469
1;C2000.5.txt;base;10;14;16;12.5%;0.7%;11.315889835357666;40;103
2;C500.9.txt;base;43;52;57;8.8%;6.6%;4.287994384765625;46;300
3;gen400_p0.9_75.txt;base;47;49;75;34.7%;2.0%;0.15521907806396484;2;398
4;p_hat1500-3.txt;base;75;85;94;9.6%;1.9%;3.890040159225464;9;91
5;p_hat700-1.txt;base;7;8;11;27.3%;0.4%;0.02139759063720703;1;252
6;brock200_2.col;base;7;9;12;25.0%;6.0%;0.07238578796386719;2;922
7;dsjc125.1.col;base;4;4;4;0.0%;0.0%;0.0;0;2144
8;random-10.col;base;5;5;5;0.0%;0.0%;0.0;0;22776
9;random-100.col;base;8;9;9;0.0%;7.0%;0.4782989025115967;40;2581
10;random-40.col;base;7;7;7;0.0%;0.0%;0.0;0;5905
11;random-70.col;base;7;8;8;0.0%;10.0%;0.02523016929626465;2;3544
