;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;expl v2;14;19;26;26.9%;2.6%;9.278117179870605;0;581
1;C2000.5.txt;expl v2;10;14;16;12.5%;0.7%;12.629682540893555;0;220
2;C500.9.txt;expl v2;43;52;57;8.8%;6.6%;3.1772139072418213;0;875
3;gen400_p0.9_75.txt;expl v2;47;51;75;32.0%;5.0%;3.965081214904785;0;1010
4;p_hat1500-3.txt;expl v2;75;90;94;4.3%;2.6%;22.557645559310913;0;241
5;p_hat700-1.txt;expl v2;7;9;11;18.2%;1.4%;0.5679616928100586;0;555
6;brock200_2.col;expl v2;7;9;12;25.0%;6.0%;0.11597323417663574;0;2540
7;dsjc125.1.col;expl v2;4;4;4;0.0%;0.0%;0.0;0;6043
8;random-10.col;expl v2;5;5;5;0.0%;0.0%;0.0;0;61589
9;random-100.col;expl v2;8;9;9;0.0%;7.0%;0.05007791519165039;0;3971
10;random-40.col;expl v2;7;7;7;0.0%;0.0%;0.0;0;11824
11;random-70.col;expl v2;7;8;8;0.0%;7.1%;0.021001577377319336;0;6784
