;instance;method;start;end;bound;gap;start/end diff;time of best;iteration_of_best;total_iterations
0;brock800_4.txt;base;14;19.0;26;26.9%;1.9%;11.524498462677002;29;239
1;brock800_4.txt;restart;14;17.0;26;34.6%;3.9%;33.01996159553528;211;420
2;C2000.5.txt;base;10;14.0;16;12.5%;0.8%;8.900772094726562;27;182
3;C2000.5.txt;restart;10;13.0;16;18.8%;1.1%;15.148816347122192;56;233
4;C500.9.txt;base;43;49.0;57;14.0%;5.2%;45.25000882148743;219;290
5;C500.9.txt;restart;43;48.0;57;15.8%;5.0%;2.177812099456787;8;296
6;gen400_p0.9_75.txt;base;47;49.0;75;34.7%;1.5%;0.22254180908203125;1;326
7;gen400_p0.9_75.txt;restart;47;49.0;75;34.7%;2.5%;1.1476731300354004;6;390
8;p_hat1500-3.txt;base;75;85.0;94;9.6%;1.6%;29.114800691604614;20;46
9;p_hat1500-3.txt;restart;75;84.0;94;10.6%;1.9%;13.924031496047974;9;73
10;p_hat700-1.txt;base;7;9.0;11;18.2%;1.4%;13.761832475662231;161;665
11;p_hat700-1.txt;restart;7;8.0;11;27.3%;1.0%;0.25225186347961426;3;884
